,times,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_de_gols
1,São Paulo,2224,1511,667,442,402,2236,1598,638
2,Santos,2153,1527,650,429,448,2263,1718,545
3,Internacional,2143,1492,650,418,424,2018,1531,487
4,Grêmio,2115,1522,646,424,452,2031,1602,429
5,Corinthians,2109,1494,636,439,419,1962,1547,415
6,Palmeiras,2102,1438,653,397,388,2119,1549,570
7,Atlético Mineiro,2100,1507,640,415,452,2179,1769,410
8,Flamengo,2097,1517,635,426,456,2094,1724,370
9,Cruzeiro,2086,1481,636,403,442,2131,1678,453
10,Fluminense,1882,1446,558,403,485,1913,1734,179
11,Vasco da Gama,1807,1409,531,427,451,1926,1712,214
12,Botafogo,1702,1386,498,400,488,1743,1704,39
13,Athletico Paranaense,1574,1187,451,311,425,1555,1453,102
14,Goiás,1344,1093,381,301,411,1401,1417,-16
15,Coritiba,1279,1069,376,291,402,1249,1280,-31
16,Bahia,1267,1103,368,343,392,1244,1333,-87
17,Sport,1129,982,327,269,386,1113,1224,-111
18,Vitória,1107,972,319,259,394,1165,1360,-195
19,Portuguesa,896,781,258,249,274,948,955,-7
20,Guarani,889,709,269,215,225,898,797,101